current_tariff,arpu_segment,target_tariff,history_count,mean_change_pct,median_change_pct,conversion_rate,expected_lift,target_audience_size,predicted_arpu_sum,expected_total_lift,confidence
tariff_4,MID,tariff_8,408,0.39450547,0.29210789,0.60895522,0.24023617,1227,5840537.24,1403108.29,high
tariff_13,MID,tariff_8,234,0.45911711,0.40547277,0.55847255,0.25640431,1022,5000571.24,1282168.00,high
tariff_8,MID,tariff_10,182,0.40923258,0.31764843,0.23636364,0.09672770,1720,8024489.89,776190.46,high
tariff_8,LOW,tariff_9,26,2.41515488,3.00000000,0.20000000,0.48303098,457,1312258.16,633861.34,low
tariff_13,LOW,tariff_8,20,1.23411535,1.18090565,0.46511628,0.57400714,251,756421.08,434191.10,low
tariff_12,MID,tariff_8,78,0.51241447,0.33533360,0.54166667,0.27755784,342,1503059.91,417186.06,medium
tariff_4,LOW,tariff_9,17,2.26356228,3.00000000,0.18478261,0.41826694,299,857563.18,358690.33,low
tariff_14,LOW,tariff_9,21,1.22375360,1.58585313,0.39622642,0.48488350,231,721988.30,350080.22,low
tariff_11,LOW,tariff_8,16,1.22166094,1.91935920,0.23188406,0.28328370,387,1067637.80,302444.38,low
tariff_12,LOW,tariff_8,6,1.65490624,2.75195774,0.17647059,0.29204228,363,1017502.05,297153.62,low
tariff_10,MID,tariff_11,86,0.41415619,0.45393116,0.23822715,0.09866325,645,3003700.15,296354.81,medium
tariff_10,LOW,tariff_9,8,1.94056196,3.00000000,0.13333333,0.25874159,370,972233.57,251557.26,low
tariff_8,MID,tariff_11,99,0.24335962,0.03215426,0.12857143,0.03128909,1720,8024489.89,251079.02,medium
tariff_10,MID,tariff_8,138,0.21811503,0.21997524,0.38227147,0.08337915,645,3003700.15,250445.97,high
tariff_8,HIGH,tariff_10,283,0.02036122,0.00138026,0.31584821,0.00643105,4726,36988107.97,237872.55,high
